update,kind,reward,rate,ep_rate,terminal_time_min,steps,episodes,step_avg_reward,step_avg_rate,combo_id,LAMBDA,R_PICK_ALPHA,GAMMA_PACK,RIDE_TTL_MIN,MAX_VISIBLE_RIDES,SWITCH_GRACE_STEPS,RT,run_id,train_seed,replicate,ALPHA_EFFECTIVE,ALPHA_SATURATION,ALPHA_MEMBERS,R,V,DT,RIDE_TTL_STEPS,RP,HORIZON_MIN,DEMAND_PROFILE,TRAIN_UPDATES,REPORT_UNSCALED,OBS_DIM,R_PAPER,R_PICK_ALPHA_PAPER,PICKUP_RADIUS,ALPHA_EFFECTIVE_PAPER,ALPHA_SATURATION_PAPER
24,train,251.52902221679688,0.4182192768450304,0.41695610540253775,601.4285714285714,1202.857142857143,7,0.20852228999137878,0.41704457998275757,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
25,train,265.3814506530762,0.46113197333288647,0.4464562386274338,575.5,1151.0,6,0.2263253629207611,0.4526507258415222,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
25,eval,286.32969055175784,0.45644777706321993,0.43391078114509585,627.3,nan,1,nan,nan,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
26,train,232.73815264020647,0.4115617199649982,0.4062806623322623,565.5,1131.0,7,0.21738898754119873,0.43477797508239746,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
27,train,295.8899694170271,0.4612470294887406,0.4208044878074101,641.5,1283.0,7,0.21626904606819153,0.43253809213638306,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
28,train,210.4658966064453,0.44412498697725855,0.44014445940653485,473.8888888888889,947.7777777777778,9,0.22914904356002808,0.45829808712005615,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
29,train,275.1955991472517,0.4811712736432526,0.4700870854513986,571.9285714285714,1143.857142857143,7,0.24589061737060547,0.49178123474121094,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
30,train,216.8210695054796,0.46241460321073846,0.4555940826733907,468.8888888888889,937.7777777777778,9,0.22395752370357513,0.44791504740715027,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
30,eval,286.32969055175784,0.45644777706321993,0.43391078114509585,627.3,nan,1,nan,nan,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
31,train,180.8147430419922,0.40918599129442534,0.38345252970854443,441.8888888888889,883.7777777777778,9,0.20628060400485992,0.41256120800971985,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
32,train,224.63147905137805,0.4680906023297991,0.4535510672463311,479.8888888888889,959.7777777777778,9,0.23835095763206482,0.47670191526412964,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
33,train,325.14208221435547,0.4662092229145974,0.46496827403704327,697.4166666666666,1394.8333333333333,6,0.23038384318351746,0.4607676863670349,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
34,train,221.71579933166504,0.462872232425188,0.44280057781657506,479.0,958.0,8,0.23439490795135498,0.46878981590270996,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
35,train,238.88946969168526,0.4504919956470358,0.4463622144290379,530.2857142857143,1060.5714285714287,7,0.22380700707435608,0.44761401414871216,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
35,eval,286.32969055175784,0.45644777706321993,0.43391078114509585,627.3,nan,1,nan,nan,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
36,train,218.30042351616754,0.4441514211926094,0.4159984191258748,491.5,983.0,9,0.21834076941013336,0.4366815388202667,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
37,train,170.65936965942382,0.4114256742030468,0.41083300709724424,414.8,829.6,10,0.20692168176174164,0.4138433635234833,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
38,train,186.793603515625,0.4315434989387201,0.43084299862384795,432.85,865.7,10,0.21643584966659546,0.4328716993331909,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
39,train,264.9872233072917,0.4142043349859971,0.41110314925511676,639.75,1279.5,6,0.2069743573665619,0.4139487147331238,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
40,train,249.21281814575195,0.4659272131727076,0.45905931293964386,534.875,1069.75,8,0.23703697323799133,0.47407394647598267,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
40,eval,286.32969055175784,0.45644777706321993,0.43391078114509585,627.3,nan,1,nan,nan,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
41,train,231.1706657409668,0.45040558351868837,0.44514045491814613,513.25,1026.5,8,0.22099244594573975,0.4419848918914795,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
42,train,216.30632734298706,0.4481871584418276,0.419464536011219,482.625,965.25,8,0.222955584526062,0.445911169052124,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
