combo_id,algo,LAMBDA,R_PICK_ALPHA,GAMMA_PACK,RIDE_TTL_MIN,MAX_VISIBLE_RIDES,SWITCH_GRACE_STEPS,reward,rate,terminal_time,accepted
30,DRL,0.4,0.6,0.8,5,5,12,2404.06826171875,2.287377190589905,1022.7,14.2
30,HEUR,0.4,0.6,0.8,5,5,12,1599.3280517578125,1.771618390083313,889.8,9.2
30,PURE,0.4,0.6,0.8,5,5,12,328.0,0.4767278411500328,688.2,0.0
31,DRL,0.4,0.6,0.8,5,8,6,1971.02607421875,1.9423228740692138,992.7,12.8
31,HEUR,0.4,0.6,0.8,5,8,6,1984.13359375,2.0976069927215577,933.8,10.4
31,PURE,0.4,0.6,0.8,5,8,6,319.8,0.4723013613095766,677.0,0.0
32,DRL,0.4,0.6,0.8,5,8,12,2533.2007568359377,2.4658040761947633,1017.3,13.6
32,HEUR,0.4,0.6,0.8,5,8,12,1636.51982421875,1.8616976976394652,865.1,8.6
32,PURE,0.4,0.6,0.8,5,8,12,320.2,0.471865627251501,678.3,0.0
33,DRL,0.4,0.8,0.5,3,5,6,640.1897705078125,1.0830602049827576,581.9,2.8
33,HEUR,0.4,0.8,0.5,3,5,6,482.9305786132812,0.8201177648866329,566.9,1.8
33,PURE,0.4,0.8,0.5,3,5,6,201.4,0.38738171520938325,519.4,0.0
34,DRL,0.4,0.8,0.5,3,5,12,578.4841979980469,0.9868281841278076,571.0,2.8
34,HEUR,0.4,0.8,0.5,3,5,12,543.6312194824219,0.8731146685376914,587.5,2.8
34,PURE,0.4,0.8,0.5,3,5,12,188.6,0.37014408186878656,508.9,0.0
35,DRL,0.4,0.8,0.5,3,8,6,842.1201782226562,1.3082685470581055,635.9,3.8
35,HEUR,0.4,0.8,0.5,3,8,6,343.0733367919922,0.6192289456292307,544.3,1.4
35,PURE,0.4,0.8,0.5,3,8,6,206.8,0.38913122694968116,530.8,0.0
36,DRL,0.4,0.8,0.5,3,8,12,779.2536010742188,1.295942449569702,601.1,4.0
36,HEUR,0.4,0.8,0.5,3,8,12,598.8750244140625,0.9226778702280629,613.2,2.2
36,PURE,0.4,0.8,0.5,3,8,12,202.2,0.3946245883397129,511.5,0.0
37,DRL,0.4,0.8,0.5,5,5,6,1590.5638793945313,2.006746697425842,781.1,10.0
37,HEUR,0.4,0.8,0.5,5,5,6,1169.7047729492188,1.718017077445984,674.8,7.2
37,PURE,0.4,0.8,0.5,5,5,6,200.2,0.3933779056505092,508.5,0.0
38,DRL,0.4,0.8,0.5,5,5,12,1560.2,2.00494384765625,759.9,9.0
38,HEUR,0.4,0.8,0.5,5,5,12,1322.9249755859375,1.842084288597107,710.8,8.0
38,PURE,0.4,0.8,0.5,5,5,12,205.0,0.3880916233825761,529.2,0.0
39,DRL,0.4,0.8,0.5,5,8,6,1299.3670532226563,1.787999701499939,717.4,8.0
39,HEUR,0.4,0.8,0.5,5,8,6,1041.650860595703,1.4964123725891114,654.2,5.2
39,PURE,0.4,0.8,0.5,5,8,6,207.6,0.3901976744550209,532.2,0.0
40,DRL,0.4,0.8,0.5,5,8,12,1980.4207275390625,2.3255735874176025,848.8,13.4
40,HEUR,0.4,0.8,0.5,5,8,12,1445.9309692382812,1.9203440189361571,742.0,8.2
40,PURE,0.4,0.8,0.5,5,8,12,197.4,0.38877598493442,507.8,0.0
41,DRL,0.4,0.8,0.8,3,5,6,909.0771362304688,1.182201325893402,763.4,4.0
41,HEUR,0.4,0.8,0.8,3,5,6,618.9805236816406,0.8985718488693237,685.4,2.2
41,PURE,0.4,0.8,0.8,3,5,6,316.0,0.4775512405945088,661.6,0.0
42,DRL,0.4,0.8,0.8,3,5,12,1085.434912109375,1.3687384843826294,790.4,4.6
42,HEUR,0.4,0.8,0.8,3,5,12,635.7238037109375,0.8627958774566651,728.0,2.4
42,PURE,0.4,0.8,0.8,3,5,12,312.8,0.4892186223713046,640.6,0.0
43,DRL,0.4,0.8,0.8,3,8,6,703.5542236328125,0.9531248331069946,721.4,3.0
43,HEUR,0.4,0.8,0.8,3,8,6,724.5732299804688,0.9675250768661499,724.9,2.8
43,PURE,0.4,0.8,0.8,3,8,6,311.6,0.47483083052872355,656.0,0.0
44,DRL,0.4,0.8,0.8,3,8,12,754.3950927734375,1.0313623070716857,726.9,3.4
44,HEUR,0.4,0.8,0.8,3,8,12,847.9556091308593,1.098134171962738,751.4,3.8
44,PURE,0.4,0.8,0.8,3,8,12,325.0,0.4734727719287961,687.0,0.0
45,DRL,0.4,0.8,0.8,5,5,6,2211.4450927734374,2.2246355772018434,984.7,12.8
45,HEUR,0.4,0.8,0.8,5,5,6,1964.742822265625,1.962526535987854,982.5,11.2
45,PURE,0.4,0.8,0.8,5,5,6,314.8,0.4709951358139407,668.6,0.0
46,DRL,0.4,0.8,0.8,5,5,12,2236.5548095703125,2.2582473516464234,973.5,12.4
46,HEUR,0.4,0.8,0.8,5,5,12,2169.8314453125,2.2306525230407717,956.1,11.4
46,PURE,0.4,0.8,0.8,5,5,12,326.6,0.47989463953426964,680.9,0.0
47,DRL,0.4,0.8,0.8,5,8,6,2046.89296875,2.124927258491516,950.8,10.8
47,HEUR,0.4,0.8,0.8,5,8,6,1879.009130859375,2.028291440010071,910.9,10.0
47,PURE,0.4,0.8,0.8,5,8,6,327.4,0.48613599531662277,674.1,0.0
48,DRL,0.4,0.8,0.8,5,8,12,1771.8269775390625,1.922290325164795,904.4,9.8
48,HEUR,0.4,0.8,0.8,5,8,12,1858.691552734375,2.0142409563064576,911.4,10.2
48,PURE,0.4,0.8,0.8,5,8,12,326.8,0.4884511316186198,669.9,0.0
49,DRL,0.6,0.4,0.5,3,5,6,1072.084405517578,1.603952670097351,648.3,5.8
49,HEUR,0.6,0.4,0.5,3,5,6,740.1124755859375,1.1779592752456665,618.6,3.4
49,PURE,0.6,0.4,0.5,3,5,6,189.4,0.36944969407180533,512.8,0.0
50,DRL,0.6,0.4,0.5,3,5,12,886.4423645019531,1.3643590211868286,636.7,4.6
50,HEUR,0.6,0.4,0.5,3,5,12,815.056884765625,1.311986243724823,615.6,3.8
50,PURE,0.6,0.4,0.5,3,5,12,194.0,0.37554180353980987,516.9,0.0
51,DRL,0.6,0.4,0.5,3,8,6,1150.5296447753906,1.5758738398551941,695.3,6.0
