update,kind,reward,rate,ep_rate,terminal_time_min,steps,episodes,step_avg_reward,step_avg_rate,combo_id,LAMBDA,R_PICK_ALPHA,GAMMA_PACK,RIDE_TTL_MIN,MAX_VISIBLE_RIDES,SWITCH_GRACE_STEPS,RT,run_id,train_seed,replicate,ALPHA_EFFECTIVE,ALPHA_SATURATION,ALPHA_MEMBERS,R,V,DT,RIDE_TTL_STEPS,RP,HORIZON_MIN,DEMAND_PROFILE,TRAIN_UPDATES,REPORT_UNSCALED,OBS_DIM,R_PAPER,R_PICK_ALPHA_PAPER,PICKUP_RADIUS,ALPHA_EFFECTIVE_PAPER,ALPHA_SATURATION_PAPER
18,train,382.48778279622394,0.5376424263271276,0.5357838074366251,711.4166666666666,1422.8333333333333,6,0.26462963223457336,0.5292592644691467,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
19,train,398.359033203125,0.4914978818052128,0.4801093518733978,810.5,1621.0,5,0.2542741596698761,0.5085483193397522,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
20,train,270.5954351425171,0.5157268567338027,0.4988959990441799,524.6875,1049.375,8,0.25625699758529663,0.5125139951705933,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
20,eval,577.257470703125,0.5132089888896916,0.5313795864582062,1124.8,nan,1,nan,nan,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
21,train,362.57496337890626,0.5073107085195274,0.5031451880931854,714.7,1429.4,5,0.2533268928527832,0.5066537857055664,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
22,train,482.5677429199219,0.5077522547558101,0.49996384382247927,950.4,1900.8,5,0.25271350145339966,0.5054270029067993,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
23,train,387.31566314697267,0.49027299132528185,0.4786521792411804,790.0,1580.0,5,0.2506103515625,0.501220703125,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
24,train,352.86917877197266,0.48543278061030287,0.4811835338672002,726.9166666666666,1453.8333333333333,6,0.23622345924377441,0.47244691848754883,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
25,train,407.4823974609375,0.5125564747936321,0.5161047458648682,795.0,1590.0,5,0.2588513493537903,0.5177026987075806,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
25,eval,637.630712890625,0.5029426667381488,0.5284508347511292,1267.8,nan,1,nan,nan,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
26,train,269.0331395467122,0.4539366808999644,0.45087309181690216,592.6666666666666,1185.3333333333333,6,0.23055841028690338,0.46111682057380676,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
