update,reward,rate,terminal_time_min,steps,episodes,combo_id,LAMBDA,R_PICK_ALPHA,GAMMA_PACK,RIDE_TTL_MIN,MAX_VISIBLE_RIDES,SWITCH_GRACE_STEPS,RT
20,58.995697,0.06405613,921.0,1842.0,1,8,2,0.2,0.83,5,5,6,6.0
1,78.23334,0.07905425,980.75,1961.5,2,9,2,0.2,1,5,5,6,5.5
2,95.90063,0.08253066,1162.0,2324.0,1,9,2,0.2,1,5,5,6,5.5
3,77.22012,0.07763809,997.0,1994.0,2,9,2,0.2,1,5,5,6,5.5
4,69.56598,0.07073109,986.5,1973.0,2,9,2,0.2,1,5,5,6,5.5
5,84.119354,0.08242955,1020.5,2041.0,1,9,2,0.2,1,5,5,6,5.5
6,56.648052,0.068737596,830.25,1660.5,2,9,2,0.2,1,5,5,6,5.5
7,62.98982,0.072488196,869.75,1739.5,2,9,2,0.2,1,5,5,6,5.5
8,90.797714,0.08172612,1111.0,2222.0,1,9,2,0.2,1,5,5,6,5.5
9,68.620674,0.07323445,937.0,1874.0,1,9,2,0.2,1,5,5,6,5.5
10,61.39693,0.07342261,836.5,1673.0,2,9,2,0.2,1,5,5,6,5.5
11,56.80065,0.06989326,817.25,1634.5,2,9,2,0.2,1,5,5,6,5.5
12,72.81428,0.07702236,945.75,1891.5,2,9,2,0.2,1,5,5,6,5.5
13,131.15466,0.085498475,1534.0,3068.0,1,9,2,0.2,1,5,5,6,5.5
14,98.78102,0.07753612,1274.0,2548.0,1,9,2,0.2,1,5,5,6,5.5
15,83.36815,0.085219726,976.75,1953.5,2,9,2,0.2,1,5,5,6,5.5
16,90.76631,0.086567774,1048.5,2097.0,1,9,2,0.2,1,5,5,6,5.5
17,61.879475,0.07459852,829.5,1659.0,1,9,2,0.2,1,5,5,6,5.5
18,80.10301,0.0784293,1021.25,2042.5,2,9,2,0.2,1,5,5,6,5.5
19,70.84233,0.077943556,902.25,1804.5,2,9,2,0.2,1,5,5,6,5.5
20,67.13578,0.07517834,893.25,1786.5,2,9,2,0.2,1,5,5,6,5.5
1,82.85508,0.08318783,996.0,1992.0,1,10,2,0.2,1,5,5,6,6.0
2,56.014885,0.072188705,751.75,1503.5,2,10,2,0.2,1,5,5,6,6.0
3,51.248516,0.08064898,635.5,1271.0,2,10,2,0.2,1,5,5,6,6.0
4,100.37961,0.08950478,1121.5,2243.0,1,10,2,0.2,1,5,5,6,6.0
5,75.35507,0.08247167,908.25,1816.5,2,10,2,0.2,1,5,5,6,6.0
6,82.05724,0.08228249,998.0,1996.0,2,10,2,0.2,1,5,5,6,6.0
7,104.85569,0.08687298,1207.0,2414.0,1,10,2,0.2,1,5,5,6,6.0
8,104.23498,0.08962595,1163.0,2326.0,1,10,2,0.2,1,5,5,6,6.0
9,61.904636,0.07287185,849.5,1699.0,1,10,2,0.2,1,5,5,6,6.0
10,62.811058,0.07482679,816.0,1632.0,2,10,2,0.2,1,5,5,6,6.0
11,83.334366,0.084802285,982.75,1965.5,2,10,2,0.2,1,5,5,6,6.0
12,70.61961,0.075731486,932.5,1865.0,1,10,2,0.2,1,5,5,6,6.0
13,109.81751,0.08928253,1230.0,2460.0,1,10,2,0.2,1,5,5,6,6.0
14,66.09331,0.07615319,863.0,1726.0,2,10,2,0.2,1,5,5,6,6.0
15,103.77444,0.089115016,1164.5,2329.0,1,10,2,0.2,1,5,5,6,6.0
16,83.847824,0.08539599,981.75,1963.5,2,10,2,0.2,1,5,5,6,6.0
17,92.69164,0.07983776,1161.0,2322.0,1,10,2,0.2,1,5,5,6,6.0
18,87.31648,0.07498195,1164.5,2329.0,1,10,2,0.2,1,5,5,6,6.0
19,86.52106,0.08428744,1026.5,2053.0,1,10,2,0.2,1,5,5,6,6.0
20,57.32862,0.07472359,766.0,1532.0,2,10,2,0.2,1,5,5,6,6.0
1,28.374878,0.056689933,468.25,936.5,4,11,2,0.25,0.33,5,5,6,5.5
2,41.314617,0.067455426,603.0,1206.0,2,11,2,0.25,0.33,5,5,6,5.5
3,29.911903,0.059284184,469.8333333333333,939.6666666666666,3,11,2,0.25,0.33,5,5,6,5.5
4,36.92758,0.07006818,525.3333333333334,1050.6666666666667,3,11,2,0.25,0.33,5,5,6,5.5
5,46.402752,0.0678634,667.3333333333334,1334.6666666666667,3,11,2,0.25,0.33,5,5,6,5.5
6,34.479065,0.07106599,481.375,962.75,4,11,2,0.25,0.33,5,5,6,5.5
7,33.80304,0.06671981,504.5,1009.0,3,11,2,0.25,0.33,5,5,6,5.5
8,50.000053,0.08120966,616.75,1233.5,2,11,2,0.25,0.33,5,5,6,5.5
9,70.30911,0.07409944,952.25,1904.5,2,11,2,0.25,0.33,5,5,6,5.5
10,38.900616,0.06586657,590.1666666666666,1180.3333333333333,3,11,2,0.25,0.33,5,5,6,5.5
11,33.834343,0.06719735,483.5,967.0,4,11,2,0.25,0.33,5,5,6,5.5
12,44.222904,0.07358184,596.0,1192.0,3,11,2,0.25,0.33,5,5,6,5.5
13,39.15828,0.064860374,601.5,1203.0,3,11,2,0.25,0.33,5,5,6,5.5
14,64.66785,0.07296431,913.0,1826.0,2,11,2,0.25,0.33,5,5,6,5.5
15,53.243645,0.07332685,728.25,1456.5,2,11,2,0.25,0.33,5,5,6,5.5
16,35.789757,0.07085969,503.25,1006.5,4,11,2,0.25,0.33,5,5,6,5.5
17,67.3856,0.08045877,843.25,1686.5,2,11,2,0.25,0.33,5,5,6,5.5
18,59.848244,0.08172107,738.0,1476.0,2,11,2,0.25,0.33,5,5,6,5.5
19,61.12706,0.07418448,823.25,1646.5,2,11,2,0.25,0.33,5,5,6,5.5
20,45.328495,0.07134622,640.3333333333334,1280.6666666666667,3,11,2,0.25,0.33,5,5,6,5.5
1,30.40623,0.06974162,435.375,870.75,4,12,2,0.25,0.33,5,5,6,6.0
2,26.963665,0.06096211,437.875,875.75,4,12,2,0.25,0.33,5,5,6,6.0
3,51.336742,0.08065801,621.6666666666666,1243.3333333333333,3,12,2,0.25,0.33,5,5,6,6.0
4,40.89113,0.069006585,579.6666666666666,1159.3333333333333,3,12,2,0.25,0.33,5,5,6,6.0
5,37.986115,0.0671917,569.3333333333334,1138.6666666666667,3,12,2,0.25,0.33,5,5,6,6.0
6,75.7545,0.07620786,1010.5,2021.0,2,12,2,0.25,0.33,5,5,6,6.0
7,43.939922,0.075702175,568.1666666666666,1136.3333333333333,3,12,2,0.25,0.33,5,5,6,6.0
8,39.171726,0.07534181,513.1666666666666,1026.3333333333333,3,12,2,0.25,0.33,5,5,6,6.0
9,59.80252,0.08208193,707.75,1415.5,2,12,2,0.25,0.33,5,5,6,6.0
10,35.72073,0.06915097,502.875,1005.75,4,12,2,0.25,0.33,5,5,6,6.0
11,71.87472,0.07940049,857.5,1715.0,2,12,2,0.25,0.33,5,5,6,6.0
12,59.999664,0.08187162,732.0,1464.0,2,12,2,0.25,0.33,5,5,6,6.0
