combo_id,algo,LAMBDA,R_PICK_ALPHA,GAMMA_PACK,RIDE_TTL_MIN,MAX_VISIBLE_RIDES,SWITCH_GRACE_STEPS,RT,reward,rate,terminal_time,avg_finish_time,finish_rate,accepted,time_rides,time_delivery
20,HEUR,0.6,0.6,0.05,3,5,6,4.0,30.20477638244629,0.21446557040119432,134.0,134.0,1.0,0.4,4.0,130.0
20,HEUR_VOR,0.6,0.6,0.05,3,5,6,4.0,22.2,0.1537486926262002,146.7,146.7,1.0,0.0,0.0,146.7
20,FOUR_ZONE,0.6,0.6,0.05,3,5,6,4.0,18.6,0.1263121592006203,147.9,147.9,1.0,0.0,0.0,147.9
20,PURE,0.6,0.6,0.05,3,5,6,4.0,20.6,0.13837650765325538,150.2,150.2,1.0,0.0,0.0,150.2
21,DRL,0.6,0.6,0.05,3,5,6,8.0,234.0986083984375,1.0251417224668165,200.6,200.6,1.0,1.2,28.5,172.1
21,HEUR,0.6,0.6,0.05,3,5,6,8.0,95.67206726074218,0.5804770557502918,154.2,154.2,1.0,1.4,12.1,142.1
21,HEUR_VOR,0.6,0.6,0.05,3,5,6,8.0,22.2,0.1407395987287147,157.0,157.0,1.0,0.0,0.0,157.0
21,FOUR_ZONE,0.6,0.6,0.05,3,5,6,8.0,23.6,0.13757698012497138,172.4,172.4,1.0,0.0,0.0,172.4
21,PURE,0.6,0.6,0.05,3,5,6,8.0,22.4,0.159198181824872,141.1,141.1,1.0,0.0,0.0,141.1
22,DRL,0.6,0.6,0.05,5,5,6,2.0,216.7846221923828,0.7126182317733765,293.4,293.4,1.0,4.6,113.1,180.3
22,HEUR,0.6,0.6,0.05,5,5,6,2.0,133.1586986541748,0.4736541661932982,239.1,239.1,1.0,2.2,61.8,177.3
22,HEUR_VOR,0.6,0.6,0.05,5,5,6,2.0,102.89996566772462,0.4599872887134552,220.7,220.7,1.0,1.8,44.8,175.9
22,FOUR_ZONE,0.6,0.6,0.05,5,5,6,2.0,21.2,0.14985091800455286,141.8,141.8,1.0,0.0,0.0,141.8
22,PURE,0.6,0.6,0.05,5,5,6,2.0,19.2,0.1354777829531928,140.1,140.1,1.0,0.0,0.0,140.1
23,DRL,0.6,0.6,0.05,5,5,6,4.0,402.251936340332,1.2847352147102356,291.9,291.9,1.0,6.6,114.9,177.0
23,HEUR,0.6,0.6,0.05,5,5,6,4.0,179.64037170410157,0.8015800237655639,212.9,212.9,1.0,2.0,45.4,167.5
23,HEUR_VOR,0.6,0.6,0.05,5,5,6,4.0,104.22170753479004,0.5989339032145434,161.3,161.3,1.0,1.2,25.2,136.1
23,FOUR_ZONE,0.6,0.6,0.05,5,5,6,4.0,18.6,0.12786942495724932,145.6,145.6,1.0,0.0,0.0,145.6
23,PURE,0.6,0.6,0.05,5,5,6,4.0,19.8,0.12780573297305572,156.5,156.5,1.0,0.0,0.0,156.5
24,DRL,0.6,0.6,0.05,5,5,6,8.0,583.5883972167969,2.2382935523986816,251.0,251.0,1.0,4.4,84.8,166.2
24,HEUR,0.6,0.6,0.05,5,5,6,8.0,125.4036148071289,0.7107844161790883,176.8,176.8,1.0,1.4,17.5,159.3
24,HEUR_VOR,0.6,0.6,0.05,5,5,6,8.0,71.42855072021484,0.3810870216016355,156.9,156.9,1.0,0.4,7.9,149.0
24,FOUR_ZONE,0.6,0.6,0.05,5,5,6,8.0,56.62745361328125,0.3748490228497706,156.2,156.2,1.0,0.2,5.5,150.7
24,PURE,0.6,0.6,0.05,5,5,6,8.0,19.8,0.12298261379462909,161.6,161.6,1.0,0.0,0.0,161.6
25,DRL,0.9,0.6,0.025,3,5,6,2.0,83.00115089416504,0.4295416500219485,147.1,147.1,1.0,2.0,39.0,108.1
25,HEUR,0.9,0.6,0.025,3,5,6,2.0,14.10657615661621,0.14835096593343033,97.4,97.4,1.0,0.2,2.5,94.9
25,HEUR_VOR,0.9,0.6,0.025,3,5,6,2.0,15.817687225341796,0.13981272815663365,99.1,99.1,1.0,0.2,3.5,95.6
25,FOUR_ZONE,0.9,0.6,0.025,3,5,6,2.0,10.4,0.09568625414297059,108.0,108.0,1.0,0.0,0.0,108.0
25,PURE,0.9,0.6,0.025,3,5,6,2.0,8.2,0.09441837553839605,84.7,84.7,1.0,0.0,0.0,84.7
26,DRL,0.9,0.6,0.025,3,5,6,4.0,58.21178436279297,0.6674336238749816,98.1,98.1,1.0,0.8,13.8,84.3
26,HEUR,0.9,0.6,0.025,3,5,6,4.0,51.133905029296876,0.3623018347232765,110.4,110.4,1.0,0.4,11.2,99.2
26,HEUR_VOR,0.9,0.6,0.025,3,5,6,4.0,11.2,0.10328348665295647,111.2,111.2,1.0,0.0,0.0,111.2
26,FOUR_ZONE,0.9,0.6,0.025,3,5,6,4.0,8.6,0.08723333677365638,99.6,99.6,1.0,0.0,0.0,99.6
26,PURE,0.9,0.6,0.025,3,5,6,4.0,9.6,0.09343461109301172,104.3,104.3,1.0,0.0,0.0,104.3
27,DRL,0.9,0.6,0.025,3,5,6,8.0,229.51564331054686,1.5870610369353735,135.5,135.5,1.0,1.6,29.6,105.9
27,HEUR,0.9,0.6,0.025,3,5,6,8.0,69.9508056640625,0.49033219065433753,124.3,124.3,1.0,0.6,8.2,116.1
27,HEUR_VOR,0.9,0.6,0.025,3,5,6,8.0,9.4,0.09567648207549469,104.2,104.2,1.0,0.0,0.0,104.2
27,FOUR_ZONE,0.9,0.6,0.025,3,5,6,8.0,11.2,0.10446960797603651,106.5,106.5,1.0,0.0,0.0,106.5
