update,kind,reward,rate,terminal_time_min,steps,episodes,step_avg_reward,step_avg_rate,combo_id,LAMBDA,R_PICK_ALPHA,GAMMA_PACK,RIDE_TTL_MIN,MAX_VISIBLE_RIDES,SWITCH_GRACE_STEPS,RT
30,eval,911.52275390625,2.673131561279297,340.9,nan,1,nan,nan,1,2,0.1,0.33,5,5,6,5.5,eval
31,train,123.65583,0.36154684,327.8333333333333,655.6666666666666,12,0.18900997936725616,0.37801995873451233,1,2,0.1,0.33,5,5,6,5.5
32,train,104.71969849722726,0.3412366560530544,284.39285714285717,568.7857142857143,14,0.18189378082752228,0.36378756165504456,1,2,0.1,0.33,5,5,6,5.5
33,train,95.40194,0.33885103,269.93333333333334,539.8666666666667,15,0.17924544215202332,0.35849088430404663,1,2,0.1,0.33,5,5,6,5.5
34,train,95.70908915201822,0.3407585000061358,267.6333333333333,535.2666666666667,15,0.179413840174675,0.35882768034935,1,2,0.1,0.33,5,5,6,5.5
35,train,93.70874,0.3326683,276.32142857142856,552.6428571428571,14,0.16540277004241943,0.33080554008483887,1,2,0.1,0.33,5,5,6,5.5
35,eval,911.52275390625,2.673131561279297,340.9,nan,1,nan,nan,1,2,0.1,0.33,5,5,6,5.5,eval
36,train,104.48620693500226,0.3290696966256199,294.11538461538464,588.2307692307693,13,0.18115848302841187,0.36231696605682373,1,2,0.1,0.33,5,5,6,5.5
37,train,91.18298966544015,0.30698802592046265,283.85714285714283,567.7142857142857,14,0.1623096764087677,0.3246193528175354,1,2,0.1,0.33,5,5,6,5.5
38,train,94.05038935343424,0.33660440328595487,269.5,539.0,15,0.1736762672662735,0.347352534532547,1,2,0.1,0.33,5,5,6,5.5
39,train,107.59907,0.336592,310.0,620.0,13,0.17221517860889435,0.3444303572177887,1,2,0.1,0.33,5,5,6,5.5
40,train,117.55092474130484,0.3544686611180269,313.15384615384613,626.3076923076923,13,0.1870315968990326,0.3740631937980652,1,2,0.1,0.33,5,5,6,5.5
40,eval,911.52275390625,2.673131561279297,340.9,nan,1,nan,nan,1,2,0.1,0.33,5,5,6,5.5,eval
41,train,86.97384236653646,0.30870282043794234,267.76666666666665,535.5333333333333,15,0.16145113110542297,0.32290226221084595,1,2,0.1,0.33,5,5,6,5.5
42,train,97.93779373168945,0.33119242572165153,283.67857142857144,567.3571428571429,14,0.17531932890415192,0.35063865780830383,1,2,0.1,0.33,5,5,6,5.5
43,train,119.90937741597493,0.36164471099906437,319.1666666666667,638.3333333333334,12,0.18077534437179565,0.3615506887435913,1,2,0.1,0.33,5,5,6,5.5
44,train,106.5468412546011,0.3313973840077718,313.61538461538464,627.2307692307693,13,0.17071186006069183,0.34142372012138367,1,2,0.1,0.33,5,5,6,5.5
45,train,93.11854525974819,0.3064505330292104,290.5,581.0,14,0.16011470556259155,0.3202294111251831,1,2,0.1,0.33,5,5,6,5.5
45,eval,911.52275390625,2.673131561279297,340.9,nan,1,nan,nan,1,2,0.1,0.33,5,5,6,5.5,eval
46,train,91.19802,0.34245154,265.0,530.0,15,0.17343813180923462,0.34687626361846924,1,2,0.1,0.33,5,5,6,5.5
47,train,101.37262226985051,0.3188400424860574,298.3076923076923,596.6153846153846,13,0.16688624024391174,0.3337724804878235,1,2,0.1,0.33,5,5,6,5.5
48,train,115.331154,0.3935814,290.0,580.0,14,0.19831988215446472,0.39663976430892944,1,2,0.1,0.33,5,5,6,5.5
49,train,86.63016074044364,0.30227437783111594,280.64285714285717,561.2857142857143,14,0.15363621711730957,0.30727243423461914,1,2,0.1,0.33,5,5,6,5.5
50,train,109.63255192683293,0.34765114104731837,306.8076923076923,613.6153846153846,13,0.1807604879140854,0.3615209758281708,1,2,0.1,0.33,5,5,6,5.5
50,eval,911.52275390625,2.673131561279297,340.9,nan,1,nan,nan,1,2,0.1,0.33,5,5,6,5.5,eval
1,train,99.13626797993977,0.3063362002742836,315.5833333333333,631.1666666666666,12,0.16064468026161194,0.3212893605232239,2,2,0.1,0.5,5,5,6,5.5
2,train,185.97313,0.42393842,432.44444444444446,864.8888888888889,9,0.21629485487937927,0.43258970975875854,2,2,0.1,0.5,5,5,6,5.5
3,train,131.1352,0.3536521,357.6363636363636,715.2727272727273,11,0.18914315104484558,0.37828630208969116,2,2,0.1,0.5,5,5,6,5.5
4,train,158.96527,0.38017213,403.55555555555554,807.1111111111111,9,0.20732921361923218,0.41465842723846436,2,2,0.1,0.5,5,5,6,5.5
5,train,136.86472,0.3522447,380.05,760.1,10,0.18419411778450012,0.36838823556900024,2,2,0.1,0.5,5,5,6,5.5
5,eval,1118.1920043945313,2.956784828834465,366.8,nan,1,nan,nan,2,2,0.1,0.5,5,5,6,5.5,eval
6,train,109.21548184481534,0.3174692174979169,341.8636363636364,683.7272727272727,11,0.16461414098739624,0.3292282819747925,2,2,0.1,0.5,5,5,6,5.5
7,train,140.64935,0.35978094,377.05,754.1,10,0.18823227286338806,0.3764645457267761,2,2,0.1,0.5,5,5,6,5.5
8,train,138.14459,0.37408867,352.27272727272725,704.5454545454545,11,0.19762404263019562,0.39524808526039124,2,2,0.1,0.5,5,5,6,5.5
9,train,136.50304690274325,0.3621083086908405,371.3181818181818,742.6363636363636,11,0.18353664875030518,0.36707329750061035,2,2,0.1,0.5,5,5,6,5.5
10,train,139.01355,0.37530744,362.95454545454544,725.9090909090909,11,0.19345006346702576,0.3869001269340515,2,2,0.1,0.5,5,5,6,5.5
10,eval,1118.1920043945313,2.956784828834465,366.8,nan,1,nan,nan,2,2,0.1,0.5,5,5,6,5.5,eval
11,train,111.3442452170632,0.34420146187473316,323.54545454545456,647.0909090909091,11,0.1874270886182785,0.374854177236557,2,2,0.1,0.5,5,5,6,5.5
12,train,132.6849708557129,0.35248506944495434,348.8181818181818,697.6363636363636,11,0.1895011067390442,0.3790022134780884,2,2,0.1,0.5,5,5,6,5.5
13,train,142.6712,0.38056812,367.22727272727275,734.4545454545455,11,0.1937721073627472,0.3875442147254944,2,2,0.1,0.5,5,5,6,5.5
14,train,150.4636,0.3667848,396.65,793.3,10,0.19771958887577057,0.39543917775154114,2,2,0.1,0.5,5,5,6,5.5
15,train,194.43875291612414,0.3932068763893308,448.77777777777777,897.5555555555555,9,0.21556971967220306,0.43113943934440613,2,2,0.1,0.5,5,5,6,5.5
15,eval,1118.1920043945313,2.956784828834465,366.8,nan,1,nan,nan,2,2,0.1,0.5,5,5,6,5.5,eval
16,train,99.96161006047176,0.3120137777774906,306.11538461538464,612.2307692307693,13,0.16254766285419464,0.3250953257083893,2,2,0.1,0.5,5,5,6,5.5
17,train,142.82416811856356,0.370674077669511,369.04545454545456,738.0909090909091,11,0.1938520073890686,0.3877040147781372,2,2,0.1,0.5,5,5,6,5.5
18,train,164.17013295491537,0.3826187658612026,407.8888888888889,815.7777777777778,9,0.203569233417511,0.407138466835022,2,2,0.1,0.5,5,5,6,5.5
