combo_id,algo,LAMBDA,R_PICK_ALPHA,GAMMA_PACK,RIDE_TTL_MIN,MAX_VISIBLE_RIDES,SWITCH_GRACE_STEPS,RT,reward,rate,terminal_time,avg_finish_time,finish_rate,accepted,time_rides,time_delivery
15,PURE_OR,2,0.2,0.67,5,5,6,5.5,85.6,0.29997994545188855,283.8,283.8,1.0,0.0,0.0,283.8
16,DRL,2,0.2,0.67,5,5,6,6.0,653.5652160644531,0.6319479465484619,1024.9,1024.9,1.0,17.0,544.9,480.0
16,HEUR,2,0.2,0.67,5,5,6,6.0,195.1339324951172,0.4194726288318634,469.2,469.2,1.0,4.4,106.3,362.9
16,HEUR_VOR,2,0.2,0.67,5,5,6,6.0,178.9112976074219,0.408694189786911,432.6,432.6,1.0,3.2,89.8,342.8
16,FOUR_ZONE,2,0.2,0.67,5,5,6,6.0,85.6,0.2594351070775064,332.4,332.4,1.0,0.0,0.0,332.4
16,PURE,2,0.2,0.67,5,5,6,6.0,85.6,0.2594351070775064,332.4,332.4,1.0,0.0,0.0,332.4
16,PURE_OR,2,0.2,0.67,5,5,6,6.0,85.6,0.29997994545188855,283.8,283.8,1.0,0.0,0.0,283.8
17,DRL,2,0.2,0.83,5,5,6,5.5,620.3768432617187,0.576230788230896,1004.3,1004.3,1.0,18.2,543.6,460.7
17,HEUR,2,0.2,0.83,5,5,6,5.5,280.03955078125,0.4788544237613678,571.1,571.1,1.0,6.4,184.4,386.7
17,HEUR_VOR,2,0.2,0.83,5,5,6,5.5,232.58565368652344,0.4654962420463562,498.8,498.8,1.0,3.8,130.8,368.0
17,FOUR_ZONE,2,0.2,0.83,5,5,6,5.5,105.2,0.30346051279269637,350.5,350.5,1.0,0.0,0.0,350.5
17,PURE,2,0.2,0.83,5,5,6,5.5,105.2,0.30346051279269637,350.5,350.5,1.0,0.0,0.0,350.5
17,PURE_OR,2,0.2,0.83,5,5,6,5.5,105.2,0.3224321005110184,325.4,325.4,1.0,0.0,0.0,325.4
18,DRL,2,0.2,0.83,5,5,6,6.0,726.2430725097656,0.6316278398036956,1076.9,1076.9,1.0,19.8,600.1,476.8
18,HEUR,2,0.2,0.83,5,5,6,6.0,295.93524475097655,0.5053703665733338,571.1,571.1,1.0,6.4,184.4,386.7
18,HEUR_VOR,2,0.2,0.83,5,5,6,6.0,244.16632385253905,0.48848578333854675,498.8,498.8,1.0,3.8,130.8,368.0
18,FOUR_ZONE,2,0.2,0.83,5,5,6,6.0,105.2,0.30346051279269637,350.5,350.5,1.0,0.0,0.0,350.5
18,PURE,2,0.2,0.83,5,5,6,6.0,105.2,0.30346051279269637,350.5,350.5,1.0,0.0,0.0,350.5
